"date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year","actual_precipitation","average_precipitation","record_precipitation","airport"
"1/1/2015","40","26","53","30","50","10","74","1928","1985","0","11","154","KCLT"
"1/2/2015","47","42","52","30","50","6","78","1928","1952","12","10","210","KCLT"
"1/3/2015","50","47","52","30","50","8","74","1887","2004","25","11","193","KCLT"
"1/4/2015","56","47","65","30","50","8","75","1887","1950","26","11","132","KCLT"
"1/5/2015","45","36","54","30","50","10","72","1920","1950","0","12","177","KCLT"
"1/6/2015","41","24","57","30","50","5","73","1884","1950","0","11","345","KCLT"
"1/7/2015","29","16","41","29","50","6","77","2014","1890","0","12","176","KCLT"
"1/8/2015","18","8","28","29","50","8","74","1970","1946","0","11","147","KCLT"
"1/9/2015","34","22","45","29","50","4","72","1970","2008","0","11","191","KCLT"
"1/10/2015","30","19","41","29","50","4","76","1970","1949","0","12","235","KCLT"
"1/11/2015","31","15","46","29","50","0","78","1886","1949","8","12","178","KCLT"
"1/12/2015","41","37","45","29","50","-1","75","1886","1890","98","11","222","KCLT"
"1/13/2015","41","35","47","29","50","3","75","1895","1960","4","12","168","KCLT"
"1/14/2015","35","30","40","29","50","7","77","1912","1907","0","11","145","KCLT"
"1/15/2015","34","26","42","29","50","12","77","1994","1907","0","11","96","KCLT"
"1/16/2015","43","30","56","29","50","5","74","1893","1974","0","11","169","KCLT"
"1/17/2015","41","24","57","29","51","5","75","1977","1943","0","11","238","KCLT"
"1/18/2015","49","37","61","29","51","10","71","2003","1937","2","11","251","KCLT"
"1/19/2015","49","33","64","30","51","6","69","1994","1929","0","11","228","KCLT"
"1/20/2015","53","39","67","30","51","-2","71","1985","1951","0","11","198","KCLT"
"1/21/2015","50","36","64","30","51","-5","73","1985","1935","0","11","228","KCLT"
"1/22/2015","41","25","57","30","51","5","74","1970","1937","0","11","179","KCLT"
"1/23/2015","41","36","45","30","51","9","75","2003","1927","88","11","148","KCLT"
"1/24/2015","43","33","53","30","51","7","74","1963","1967","16","10","179","KCLT"
"1/25/2015","43","28","57","30","51","11","76","1963","1950","0","11","227","KCLT"
"1/26/2015","45","37","53","30","51","8","75","1940","1950","1","10","143","KCLT"
"1/27/2015","39","29","48","30","52","6","75","1940","1890","0","10","151","KCLT"
"1/28/2015","36","23","49","30","52","5","79","1986","1944","0","11","127","KCLT"
"1/29/2015","38","25","50","30","52","8","79","1897","2002","0","10","121","KCLT"
"1/30/2015","38","26","49","30","52","4","78","1966","2002","0","11","113","KCLT"
"1/31/2015","35","19","51","30","52","4","77","1966","1975","0","11","175","KCLT"
"2/1/2015","47","36","57","31","52","10","76","1900","1950","1","11","178","KCLT"
"2/2/2015","42","26","57","31","52","10","80","1917","1989","39","11","230","KCLT"
"2/3/2015","34","22","46","31","53","8","81","1917","1989","0","12","125","KCLT"
"2/4/2015","41","28","53","31","53","11","76","1886","1927","0","11","193","KCLT"
"2/5/2015","40","27","52","31","53","6","78","1886","1890","0","11","200","KCLT"
"2/6/2015","32","18","45","31","53","13","79","1977","1927","0","10","291","KCLT"
"2/7/2015","47","28","65","31","53","10","74","1895","1999","0","11","165","KCLT"
"2/8/2015","59","47","70","31","54","1","74","1895","2009","0","10","112","KCLT"
"2/9/2015","56","51","61","32","54","6","77","1895","1994","87","11","181","KCLT"
"2/10/2015","45","37","53","32","54","8","76","1934","1938","13","10","222","KCLT"
"2/11/2015","42","28","55","32","54","12","75","1885","1965","0","11","119","KCLT"
"2/12/2015","42","26","57","32","54","11","73","1899","1999","0","11","165","KCLT"
"2/13/2015","31","21","40","32","55","2","74","1899","1951","0","12","188","KCLT"
"2/14/2015","40","23","56","33","55","-5","77","1899","1949","0","11","153","KCLT"
"2/15/2015","25","14","36","33","55","12","80","1943","1989","0","13","165","KCLT"
"2/16/2015","29","24","33","33","55","11","76","1905","1976","51","12","228","KCLT"
"2/17/2015","29","23","34","33","55","7","79","1958","1927","15","13","147","KCLT"
"2/18/2015","32","21","42","33","56","5","78","1958","1891","0","12","189","KCLT"
"2/19/2015","19","12","26","34","56","8","76","1958","1939","0","13","208","KCLT"
"2/20/2015","19","7","31","34","56","7","77","2015","2014","0","13","182","KCLT"
"2/21/2015","34","25","42","34","56","6","75","1896","2011","0","13","144","KCLT"
"2/22/2015","47","36","57","34","57","12","74","1963","1990","18","13","153","KCLT"
"2/23/2015","44","35","52","34","57","19","76","1963","1962","2","13","172","KCLT"
"2/24/2015","32","28","35","35","57","16","80","1967","1982","7","13","190","KCLT"
"2/25/2015","36","29","42","35","57","7","82","1967","1930","48","13","178","KCLT"
"2/26/2015","37","31","42","35","58","7","81","1967","1977","21","12","182","KCLT"
"2/27/2015","38","26","50","35","58","7","82","1963","2011","0","13","170","KCLT"
"2/28/2015","37","29","44","36","58","14","78","2002","2011","0","13","209","KCLT"
"3/1/2015","36","31","40","36","59","15","82","1980","1918","16","13","218","KCLT"
"3/2/2015","55","39","70","36","59","14","80","1980","1887","0","14","159","KCLT"
"3/3/2015","46","40","51","36","59","4","84","1980","1976","6","12","304","KCLT"
"3/4/2015","56","42","69","36","59","15","82","1943","1976","0","13","170","KCLT"
"3/5/2015","52","36","68","37","60","12","84","1960","1955","54","14","165","KCLT"
"3/6/2015","35","25","44","37","60","10","78","1960","1956","0","13","246","KCLT"
"3/7/2015","42","23","61","37","60","14","85","1899","1974","0","14","138","KCLT"
"3/8/2015","52","32","71","37","61","16","84","1920","1974","0","14","187","KCLT"
"3/9/2015","58","51","65","38","61","16","83","1996","1974","1","14","178","KCLT"
"3/10/2015","66","53","78","38","61","17","82","1932","1974","0","13","135","KCLT"
